code_insee,nom_commune,code_departement,population
90007,Banvillars,90,290
90061,Lamadeleine-Val-des-Anges,90,49
90064,Lepuix-Neuf,90,315
90085,Riervescemont,90,86
90101,Vellescot,90,250
95141,Charmont,95,33
95492,Le Plessis-Gassot,95,97
95611,Theuville,95,53
97314,Ouanary,973,200
97352,Saül,973,297
97356,Camopi,973,2168
97357,Grand-Santi,973,9390
97358,Saint-Élie,973,157
97360,Apatou,973,10059
97361,Awala-Yalimapo,973,1549
97362,Papaichton,973,5530
