code_insee,nom_commune,code_departement,population
23034,Brousse,23,31
24347,Rampieux,24,139
24502,Saint-Séverin-d'Estissac,24,91
24535,Simeyrols,24,256
24546,Temple-Laguyon,24,35
25007,Adam-lès-Vercel,25,103
25045,Battenans-les-Mines,25,42
25065,Blarians,25,55
25072,Bonnal,25,19
25093,Bretigney,25,76
25094,Bretigney-Notre-Dame,25,119
25102,Burnevillers,25,48
25113,Chamesey,25,139
25130,Châteauvieux-les-Fossés,25,9
25161,Consolation-Maisonnettes,25,24
25163,Corcelle-Mieslot,25,94
25171,Courcelles,25,105
25189,Dammartin-les-Templiers,25,207
25249,Fontenotte,25,63
25344,Longevelle-lès-Russey,25,40
25366,Mancenans-Lizerne,25,184
25384,Mondon,25,79
25401,Montivernage,25,28
25421,Narbief,25,99
25433,Orgeans-Blanchefontaine,25,40
25436,Orve,25,58
25492,Rillans,25,96
25498,Rognon,25,47
25501,Rondefontaine,25,38
25522,Saint-Julien-lès-Russey,25,182
25554,Surmont,25,123
25556,Tallans,25,47
25570,Tressandans,25,28
25573,Urtière,25,16
25579,Val-de-Roulans,25,197
25582,Valleroy,25,144
26007,Ambonil,26,102
26012,Arnayon,26,23
26018,Aulan,26,8
26021,Autichamp,26,152
26030,La Bâtie-des-Fonds,26,4
26036,Beaumont-en-Diois,26,102
26050,Bésignan,26,79
26076,Charens,26,31
26090,La Chaudière,26,31
26098,Cobonne,26,168
26101,Comps,26,137
26128,Eygluy-Escoulin,26,60
26130,Eyroles,26,22
26133,Fay-le-Clos,26,180
26190,Montaulieu,26,88
26214,Mornans,26,79
26227,Pelonne,26,25
26228,Pennes-le-Sec,26,22
26245,Pommerol,26,7
26267,Rioms,26,25
26296,Saint-Benoit-en-Diois,26,34
26359,Vachères-en-Quint,26,35
26363,Valouse,26,41
26378,Volvent,26,36
27048,Beauficel-en-Lyons,27,207
27173,Corneville-la-Fouquetière,27,123
27241,Feuguerolles,27,169
27319,La Haye-de-Routot,27,286
27395,Mélicourt,27,92
27459,Les Places,27,74
27460,Plainville,27,206
27521,Saint-Christophe-sur-Avre,27,141
27535,Saint-Élier,27,404
27610,Saint-Victor-sur-Avre,27,56
27659,La Trinité,27,128
27671,Vannecrocq,27,163
28242,Méréglise,28,106
28346,Saint-Lubin-de-Cravant,28,55
28414,Villebon,28,56
29083,Île-de-Sein,29,280
29084,Île-Molène,29,166
2A011,Altagène,2A,54
2A014,Ambiegna,2A,79
2A064,Cardo-Torgia,2A,29
2A117,Forciolo,2A,90
2A240,Poggiolo,2A,107
2A253,Quasquara,2A,61
2A358,Zévaco,2A,51
2B003,Aiti,2B,29
2B013,Alzi,2B,27
2B053,Campi,2B,19
2B063,Carcheto-Brustico,2B,57
2B067,Carpineto,2B,37
2B069,Casabianca,2B,121
2B081,Castiglione,2B,41
2B102,Crocicchia,2B,81
2B105,Erbajolo,2B,92
2B164,Monacia-d'Orezza,2B,24
2B171,Muracciole,2B,34
2B176,Nocario,2B,75
2B202,Parata,2B,25
2B206,Penta-Acquatella,2B,40
2B208,Perelli,2B,109
2B214,Piano,2B,18
2B216,Piazzali,2B,19
2B221,Piedipartino,2B,17
2B241,Poggio-Marinaccio,2B,35
2B248,Prato-di-Giovellina,2B,51
2B273,Scata,2B,42
2B289,Soveria,2B,112
2B321,Tarrano,2B,16
2B338,Valle-d'Orezza,2B,26
2B339,Vallica,2B,28
2B344,Verdèse,2B,43
30074,Causse-Bégon,30,25
30208,Puechredon,30,48
30246,Sainte-Croix-de-Caderle,30,103
31019,Artigue,31,32
31039,Bachas,31,89
31040,Bachos,31,33
31064,Benque-Dessous-et-Dessus,31,29
31072,Boissède,31,68
31096,Cabanac-Séguenville,31,187
31125,Cathervielle,31,32
31168,Eoux,31,131
31172,Esparron,31,42
31180,Falga,31,148
31312,Mailholas,31,35
31353,Monès,31,88
31370,Montégut-Bourjac,31,128
31378,Montgaillard-sur-Save,31,67
31386,Montoulieu-Saint-Bernard,31,223
31400,Nogaret,31,98
31414,Peyrissas,31,83
31440,Proupiary,31,64
31477,Saint-Élix-Séglan,31,47
31479,Saint-Ferréol-de-Comminges,31,60
31493,Saint-Lary-Boujean,31,127
31514,Saint-Rome,31,58
31528,Saman,31,145
31537,Savarthès,31,195
31559,Trébons-de-Luchon,31,8
31590,Binos,31,42
32003,Antras,32,41
32004,Arblade-le-Bas,32,131
32021,Avensac,32,73
32051,Bézéril,32,106
32055,Bivès,32,119
32056,Blanquefort,32,43
32092,Catonvielle,32,105
32145,Gée-Rivière,32,44
32148,Giscaro,32,91
32214,Loubédat,32,111
32223,Magnas,32,58
32240,Mascaras,32,59
32265,Monclar-sur-Losse,32,111
32275,Monpardiac,32,38
32278,Montaut,32,123
32318,Pis,32,95
32322,Pompiac,32,207
32337,Puységur,32,73
32349,Roquelaure-Saint-Aubin,32,95
32350,Roquepine,32,36
32357,Sainte-Anne,32,125
32364,Saint-Avit-Frandat,32,97
32366,Saint-Brès,32,71
32393,Saint-Maur,32,136
32407,Saint-Soulan,32,155
32420,Sauvimont,32,66
32422,Scieurac-et-Flourès,32,42
32435,Sirac,32,162
32453,Tourrenquets,32,103
32456,Tudelle,32,56
32468,Aussos,32,64
33064,Bossugan,33,45
33149,Daubèze,33,147
33158,Les Esseintes,33,245
33180,Gans,33,202
33420,Saint-Hippolyte,33,124
33432,Saint-Loubert,33,230
34072,Celles,34,25
34099,Ferrières-les-Verreries,34,46
34133,Lavalette,34,55
34156,Mérifons,34,57
34171,Montoulieu,34,183
34338,Villeneuvette,34,66
36167,Preuilly-la-Ville,36,151
38036,Beauvoir-en-Royans,38,96
38066,Chalon,38,169
38286,Oulles,38,16
39003,Abergement-le-Petit,39,48
39054,Biefmorin,39,91
39060,Bois-de-Gand,39,60
39066,Bornay,39,182
39077,Bretenières,39,44
39091,Les Chalesmes,39,83
39100,Champrougier,39,98
39136,Chemenot,39,33
39139,Chêne-Bernard,39,80
39143,Chevrotaine,39,33
39168,Courbette,39,46
39221,La Favière,39,32
39236,Francheville,39,40
39249,Germigney,39,77
39259,Grange-de-Vaivre,39,45
39268,Ivrey,39,62
39324,Mérona,39,8
39336,Molain,39,110
39359,Montmarlon,39,33
39372,Mournans-Charbonny,39,82
39419,Pillemoine,39,62
39425,Les Planches-près-Arbois,39,86
39428,Plénisette,39,21
39454,Recanoz,39,94
39455,Reithouse,39,53
39457,Les Repôts,39,55
39507,Séligney,39,78
39511,Sergenaux,39,64
39512,Sergenon,39,57
39518,Songeson,39,72
39571,Villers-Robert,39,240
39586,Aresches,39,27
40041,Beyries,40,123
40079,Cazalis,40,139
40176,Mauvezin-d'Armagnac,40,99
41034,Chambord,41,99
41121,La Madeleine-Villefrouin,41,32
41178,Le Plessis-l'Échelle,41,58
41195,Rougeou,41,151
42025,Boyer,42,196
43060,Charraix,43,67
43068,Chazelles,43,32
43083,Cubelles,43,153
45262,Rouvray-Sainte-Croix,45,136
46244,Sabadel-Latronquière,46,93
47050,Cassignas,47,128
47139,Lasserre,47,98
48048,Cheylard-l'Évêque,48,64
48054,Cubiérettes,48,45
48106,Noalhac,48,95
48138,Saint-Bonnet-de-Chirac,48,72
49126,Orée d'Anjou,49,16975
50039,Beaucoudray,50,136
50229,Hamelin,50,109
50275,Les Loges-sur-Brécey,50,117
50317,Le Mesnil-Ozenne,50,269
50324,Le Mesnil-Véneron,50,108
50334,Montabot,50,272
50353,Le Mont-Saint-Michel,50,23
50398,Le Perron,50,193
50399,Le Petit-Celland,50,175
50422,Raids,50,208
50495,Saint-Jean-du-Corail-des-Bois,50,75
50521,Saint-Maur-des-Bois,50,157
51012,Anthenay,51,71
51020,Aubilly,51,51
51034,Bannay,51,23
51095,Le Buisson,51,84
51126,La Chapelle-Felcourt,51,45
51128,La Chapelle-sous-Orbais,51,57
51138,Châtrices,51,36
51143,Le Chemin,51,62
51146,Cheniers,51,120
51170,Corfélix,51,109
51190,Courtagnon,51,74
51222,Éclaires,51,86
51226,Écury-le-Repos,51,62
51296,Humbauville,51,75
51317,Laval-sur-Tourbe,51,49
51319,Lenharrée,51,109
51321,Lhéry,51,89
51322,Lignon,51,119
51325,Lisse-en-Champagne,51,107
51353,Marsangis,51,46
51364,Méry-Prémecy,51,67
51371,Moivre,51,54
51412,Ognes,51,60
51438,Poix,51,71
51470,Rouvroy-Ripont,51,3
51495,Saint-Loup,51,75
51497,Saint-Lumier-la-Populeuse,51,41
51528,Scrupt,51,124
51565,Thaas,51,102
51578,Trécon,51,87
52004,Aingoulaincourt,52,11
52012,Annonville,52,29
52025,Audeloncourt,52,80
52028,Aulnoy-sur-Aube,52,58
52051,Bize,52,80
52057,Blumeray,52,100
52066,Brachay,52,62
52085,Buxières-lès-Clefmont,52,26
52091,Cerisières,52,85
52097,Chambroncourt,52,48
52109,Charmes-en-l'Angle,52,6
52133,Clinchamp,52,71
52149,Courcelles-sur-Blaise,52,87
52157,Curmont,52,12
52159,Cuves,52,25
52160,Daillancourt,52,61
52161,Daillecourt,52,72
52168,Dinteville,52,66
52173,Domremy-Landéville,52,75
52174,Doncourt-sur-Meuse,52,39
52179,Doulevant-le-Petit,52,16
52183,Ecot-la-Combe,52,39
52207,Frécourt,52,88
52214,La Genevroye,52,29
52217,Germainvilliers,52,84
52218,Germay,52,49
52219,Germisay,52,17
52222,Gillaumé,52,31
52223,Gilley,52,67
52234,Hâcourt,52,41
52249,Isômes,52,147
52266,Laneuville-à-Rémy,52,66
52284,Leschères-sur-le-Blaiseron,52,88
52291,Longchamp,52,59
52301,Maisoncelles,52,58
52304,Malaincourt-sur-Meuse,52,49
52328,Montcharvot,52,40
52337,Montreuil-sur-Thonnance,52,65
52342,Morionvilliers,52,25
52344,Mouilleron,52,30
52363,Orbigny-au-Val,52,96
52369,Orquevaux,52,69
52378,Paroy-sur-Saulx,52,44
52385,Perrusse,52,29
52437,Rouelles,52,25
52463,Saudron,52,42
52468,Semilly,52,99
52489,Thol-lès-Millières,52,30
52491,Thonnance-les-Moulins,52,107
52503,Valleroy,52,24
52505,Vaudrecourt,52,32
52507,Vauxbons,52,53
52511,Vaux-sur-Saint-Urbain,52,56
52523,Vignes-la-Côte,52,66
52540,Vitry-en-Montagne,52,29
52542,Vivey,52,51
52546,Voncourt,52,17
52548,Vraincourt,52,84
52549,Vroncourt-la-Côte,52,27
54050,Bathelémont,54,69
54056,Bazailles,54,148
54057,Beaumont,54,69
54058,Béchamps,54,82
54078,Blémerey,54,54
54095,Bratte,54,47
54106,Bures,54,65
54132,Clérey-sur-Brenon,54,57
54142,Crantenoy,54,147
54153,Dampvitoux,54,57
54166,Dommartin-la-Chaussée,54,27
54180,Erbéviller-sur-Amezule,54,68
54216,Froville,54,121
54217,Gélacourt,54,184
54219,Gellenoncourt,54,82
54233,Gondrexon,54,32
54245,Haigneville,54,59
54310,Leménil-Mitry,54,2
54398,Neuviller-lès-Badonviller,54,92
54419,Parux,54,72
54438,Pulney,54,55
54446,Réchicourt-la-Petite,54,63
54447,Réclonville,54,70
54452,Reillon,54,73
54480,Saint-Martin,54,54
54487,Saint-Rémy-aux-Bois,54,65
54497,Saxon-Sion,54,66
54508,Sivry,54,239
54524,Thumeréville,54,97
54530,Tramont-Lassus,54,91
54531,Tramont-Saint-André,54,62
54556,Vého,54,111
54576,Villers-le-Rond,54,116
54600,Xousse,54,113
55005,Amanty,55,35
55022,Avioth,55,120
55023,Avocourt,55,121
55032,Baudrémont,55,41
55033,Baulny,55,20
55044,Belrain,55,38
55046,Beney-en-Woëvre,55,136
55057,Boinville-en-Woëvre,55,77
55062,Bouconville-sur-Madt,55,100
55081,Brizeaux,55,62
55095,Cesse,55,113
55103,Charpentry,55,23
55107,Chaumont-devant-Damvillers,55,46
55127,Courcelles-en-Barrois,55,51
55128,Courcelles-sur-Aire,55,42
55137,Cuisy,55,48
55140,Cunel,55,22
55141,Dagonville,55,86
55160,Dompierre-aux-Bois,55,37
55162,Domremy-la-Canne,55,28
55173,Épiez-sur-Meuse,55,38
55174,Épinonville,55,69
55194,Foucaucourt-sur-Thabas,55,61
55207,Géry,55,54
55210,Gimécourt,55,38
55220,Grimaucourt-près-Sampigny,55,93
55222,Gussainville,55,34
55260,Julvécourt,55,59
55261,Juvigny-en-Perthois,55,134
55270,Lahayville,55,29
55280,Lanhères,55,55
55295,Lisle-en-Barrois,55,28
